"ip","ok","seconds","message"
"172.16.43.49","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.5","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.50","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.51","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.52","False","70","Required ports not reachable (445=False, 135=False)."
"172.16.43.53","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.54","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.55","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.56","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.57","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.58","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.59","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.6","False","70","Required ports not reachable (445=False, 135=False)."
"172.16.43.60","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.61","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.62","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.63","False","85","Required ports not reachable (445=False, 135=False)."
"172.16.43.64","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.65","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.66","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.67","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.68","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.69","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.7","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.70","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.71","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.72","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.73","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.74","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.75","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.76","False","84","Required ports not reachable (445=False, 135=False)."
